Town/City,Clerk,Address,Phone,Fax,E-Mail,Town Website Address,State Election Start Time - End Time,Local Election Start Time - End Time,Polling Place,Election Date-Name
BOSCAWEN,NICOLE ELLEN HOYT,116 N MAIN STREET BOSCAWEN 03303,603-753-9188,Not Applicable,NHOYT@BOSCAWENNH.GOV,WWW.BOSCAWENNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BOSCAWEN ELEMENTARY SCHOOL 1 B.E.S.T AVE BOSCAWEN 03303,11/03/2026-STATE GENERAL ELECTION
BOW,MRIDULA SUDHIR NAIK,10 GRANDVIEW ROAD BOW 03304,603-223-3980,603-225-5428,MNAIK@BOWNH.GOV,WWW.BOWNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BOW MEMORIAL SCHOOL 20 BOW CENTER RD BOW 03304,11/03/2026-STATE GENERAL ELECTION
BRADFORD,ERICA GROSS,PO BOX 607 BRADFORD 03221,603-938-2288,Not Applicable,TC@BRADFORDNH.GOV,WWW.BRADFORDNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,BRADFORD TOWN HALL 75 WEST MAIN ST BRADFORD 03221,11/03/2026-STATE GENERAL ELECTION
BRENTWOOD,DAPHNE WOSS,1 DALTON ROAD BRENTWOOD 03833,603-642-6400,603-642-6310,TOWNCLERK@BRENTWOODNH.GOV,WWW.BRENTWOODNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,SWASEY CENTRAL SCHOOL 355 MIDDLE RD BRENTWOOD 03833,11/03/2026-STATE GENERAL ELECTION
BRIDGEWATER,COLLEEN MARIE KENNY,PO BOX 419 BRIDGEWATER 03264,603-968-7911,603-968-3506,BRIDGEWATERTOWNCLERK1@GMAIL.COM,WWW.BRIDGEWATER-NH.COM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,BRIDGEWATER TOWN HALL 297 MAYHEW TPKE BRIDGEWATER 03222,11/03/2026-STATE GENERAL ELECTION
BRISTOL,CHERYL A HERBERT,5 SCHOOL ST BRISTOL 03222,603-744-3354,603-744-2521,CHERBERT@BRISTOLNH.GOV,BRISTOLNH.GOV,8:00 AM - 7:00 PM,6:30 PM - 9:00 PM,NEWFOUND REGIONAL HIGH SCHOOL 150 SUMMER ST BRISTOL 03222,11/03/2026-STATE GENERAL ELECTION
BROOKFIELD,KAREN E SERVACEK,223 GOVERNORS RD BROOKFIELD 03872,603-522-3688,Not Applicable,TOWNCLERK@BROOKFIELDNH.ORG,WWW.BROOKFIELDNH.GOV,08:00 AM - 07:00 PM,8:00 AM - 7:00PM,BROOKFIELD TOWN HOUSE 267 WENTWORTH RD BROOKFIELD 03872,11/03/2026-STATE GENERAL ELECTION
BROOKLINE,PATRICIA A HOWARD-BARNETT,PO BOX 336 BROOKLINE 03033,603-673-8855,603-673-8802,PATTI@BROOKLINENH.GOV,HTTP://WWW.BROOKLINENH.GOV/,7:00 AM - 7:30 PM,7:00 AM - 7:30 PM,CAPTAIN SAMUEL DOUGLAS ACADEMY 24 TOWNSEND HILL RD BROOKLINE 03033,11/03/2026-STATE GENERAL ELECTION
CAMBRIDGE,DONNA M DEMERS,PO BOX 100 CAMBRIDGE 03579,603-482-3351,603-482-3804,ERROLTOWNCLERK@GMAIL.COM,ERROLTOWNCLERK@GMAIL.COM,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST CAMBRIDGE 03579,11/03/2026-STATE GENERAL ELECTION
CAMPTON,HANNAH B JOYCE,10 GEARTY WAY CAMPTON 03223,603-726-3223,603-726-9817,TCTX@CAMPTONNH.GOV,WWW.CAMPTONNH.ORG,,,,
CANAAN,CHRISTINA ROGERS,PO BOX 38 CANAAN 03741,603-523-4501,603-523-4526,DEPUTYTCTC@CANAANNH.GOV,WWW.CANAANNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CANAAN FIRE STATION 62 NH RT 118 CANAAN 03741,11/03/2026-STATE GENERAL ELECTION
CANDIA,TRACEY BOUCHER,74 HIGH STREET CANDIA 03034,603-483-5573,603-483-0252,TOWNCLERK@TOWNOFCANDIA.ORG,WWW.CANDIANH.ORG,6:00 AM - 7:00 PM,6:00 AM - 7:00 PM,CANDIA YOUTH ATHLETIC ASSOCIATION (CYAA) 27 RAYMOND RD CANDIA 03034,11/03/2026-STATE GENERAL ELECTION
CANTERBURY,SAMUEL JEAN PETER PAPPS,PO BOX 500 CANTERBURY 03224,603-783-0153,603-783-0501,SPAPPS@CANTERBURYNH.GOV,WWW.CANTERBURYNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CANTERBURY ELEMENTARY SCHOOL 15 BAPTIST RD CANTERBURY 03224,11/03/2026-STATE GENERAL ELECTION
CARROLL,CRYSTAL B BAILEY,PO BOX 88 CARROLL 03595,603-846-5494,603-846-5713,TOWNCLERK@TOWNOFCARROLLNH.GOV,CARROLLNH.GOV,,,,
CENTER HARBOR,AMY HORNKOHL,PO BOX 140 CENTER HARBOR 03226,603-253-4561,603-253-8420,TOWNCLERK@CENTERHARBORNH.GOV,WWW.CENTERHARBORNH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CENTER HARBOR TOWN OFFICE 36 MAIN ST CENTER HARBOR 03226,11/03/2026-STATE GENERAL ELECTION
CHANDLERS PURCHASE,CHRISTINA ZORNIO,20 PARK ST CHANDLERS PURCHASE 03581,603-446-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
CHARLESTOWN,PATRICIA E CHAFFEE,P O BOX 834 CHARLESTOWN 03603,603-826-5821,603-826-5181,PATRICIA@CHARLESTOWN-NH.GOV,WWW.CHARLESTOWN-NH.GOV,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CHARLESTOWN SENIOR CENTER 233 OLD SPRINGFIELD RD CHARLESTOWN 03603,11/03/2026-STATE GENERAL ELECTION
CHATHAM,PATRICIA PITMAN,1071 MAIN ROAD CHATHAM 03813,603-694-2117,Not Applicable,TOWNCLERK@CHATHAMNH.ORG,CHATHAMNH.ORG,11:00 AM - 7:00 PM,06:30 PM - 8:00 PM,CHATHAM TOWN HALL 1071 MAIN RD CHATHAM 03813,11/03/2026-STATE GENERAL ELECTION
CHESTER,JUSTINE M CELENTANO,84 CHESTER STREET CHESTER 03036,603-887-3636,Not Applicable,JCELENTANO@CHESTERNH.ORG,WWW.CHESTERNH.ORG,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CHESTER MUNICIPAL OFFICE 84 CHESTER ST CHESTER 03036,11/03/2026-STATE GENERAL ELECTION
CHESTERFIELD,MARY EWELL,PO BOX 64 CHESTERFIELD 03443,603-363-4624,603-363-8047,TOWNCLERK@NHCHESTERFIELD.COM,WWW.CHESTERFIELD.NH.GOV,8:00 AM - 7:00 PM,10:00 AM - 7:00 PM,CHESTERFIELD SCHOOL 535 OLD CHESTERFIELD RD CHESTERFIELD 03443,11/03/2026-STATE GENERAL ELECTION
CHICHESTER,BONNIE POTTER,54 MAIN STREET CHICHESTER 03258,603-798-5350,603-798-3170,TOWNCLERK@CHICHESTERNH.ORG,WWW.CHICHESTERNH.ORG,7:00 AM - 7:00 PM,10:00 AM - 7:00 PM,CHICHESTER CENTRAL SCHOOL 219 MAIN ST CHICHESTER 03258,11/03/2026-STATE GENERAL ELECTION
CLAREMONT WARD 01,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,603-542-7003,603-542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CLAREMONT MIDDLE SCHOOL 107 SOUTH ST CLAREMONT 03743,11/03/2026-STATE GENERAL ELECTION
CLAREMONT WARD 02,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,603-542-7003,603-542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CLAREMONT MIDDLE SCHOOL 107 SOUTH ST CLAREMONT 03743,11/03/2026-STATE GENERAL ELECTION
CLAREMONT WARD 03,GWENDOLYN R MELCHER,58 OPERA HOUSE SQ CLAREMONT 03743,603-542-7003,603-542-7038,CITYCLERK@CLAREMONTNH.COM,WWW.CLAREMONTNH.COM,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,DISNARD ELEMENTARY SCHOOL 160 HANOVER ST CLAREMONT 03743,11/03/2026-STATE GENERAL ELECTION
CLARKSVILLE,KIMBERLY A JOYCE,408 NH ROUTE 145 CLARKSVILLE 03592,603-246-7751,603-246-3480,KIM@CLARKSVILLE.NH.GOV,TWNCLARK@YAHOO.COM,,,,
COLEBROOK,JOLENE MARIE MARTUNAS,17 BRIDGE STREET COLEBROOK 03576,603-237-5200,603-237-5069,JMARTUNAS@COLEBROOKNH.ORG,HTTPS://COLEBROOKNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 6:00 PM,COLEBROOK ELEMENTARY SCHOOL GYM 27 DUMONT ST COLEBROOK 03576,11/03/2026-STATE GENERAL ELECTION
COLUMBIA,MARCIA LYNN PARKHURST,PO BOX 157 COLUMBIA 03576,603-237-5255,603-237-8270,TOWNCLERK@COLUMBIANH.ORG,TOWNCOLUMBIA@MYFAIRPOINT.NET,,,,
CONCORD WARD 01,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,MERRIMACK VALLEY HIGH SCHOOL GYMNASIUM 106 VILLAGE ST CONCORD 03303,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 02,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,THE BARN AT BULL MEADOW 63 BOG RD CONCORD 03303,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 03,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BEAVER MEADOW SCHOOL 40 SEWALLS FALLS RD CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 04,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,GREEN STREET COMMUNITY CENTER 39 GREEN ST CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 05,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CHRISTA MCAULIFFE SCHOOL 17 NORTH SPRING ST CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 06,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,CHRIST THE KING PARISH HALL 72 SOUTH MAIN ST CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 07,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,ABBOT DOWNING ELEMENTARY SCHOOL 152 SOUTH ST CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 08,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BEKTASH TEMPLE 189 PEMBROKE RD CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 09,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,07:00 AM - 07:00 PM,CITYWIDE COMMUNITY CENTER 14 CANTERBURY RD CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONCORD WARD 10,JANICE L BONENFANT,41 GREEN ST CONCORD 03301,603-225-8500,603-225-8592,CITYCLERK@CONCORDNH.GOV,WWW.CONCORDNH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,BROKEN GROUND SCHOOL 51 SOUTH CURTISVILLE RD CONCORD 03301,"11/03/2026-STATE GENERAL ELECTION, 11/03/2026-CONCORD SCHOOL DISTRICT ELECTION"
CONWAY,LOUISE MARIE INKELL,PO BOX 2680 CONWAY 03818,603-447-3811,603-447-1348,LINKELL@CONWAYNH.ORG,WWW.CONWAYNH.ORG,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,CONWAY TOWN GARAGE/PUBLIC WORKS GARAGE 1611 EAST MAIN ST CONWAY 03813,11/03/2026-STATE GENERAL ELECTION
CORNISH,PAULA HARTHAN,PO BOX 183 CORNISH 03746,603-675-5207,603-675-5605,P.HARTHAN.CLERK@CORNISH.NH.GOV,WWW.CORNISHNH.NET,,,,
CRAWFORD'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST CRAWFORD'S PURCHASE 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
CROYDON,PAUL MICHAEL FREITAS,879 NH RT 10 CROYDON 03773,603-863-7830,Not Applicable,TOWNCLERK@CROYDON-NH.COM,WWW.CROYDON-NH.COM,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,CROYDON TOWN HALL 879 NH ROUTE 10 CROYDON 03773,11/03/2026-STATE GENERAL ELECTION
CUTT'S GRANT,CHRISTINA ZORNIO,20 PARK ST CUTT'S GRANT 03581,603-466-2744,603-466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,,,,
DALTON,JEANETTE TERESA CHARON,756 DALTON ROAD DALTON 03598,603-837-2092,603-837-9642,TOWN.CLERK@TOWNOFDALTON.COM,WWW.TOWNOFDALTONNH.GOV,,,,
DANBURY,TRICIA J TAYLOR,23 HIGH STREET DANBURY 03230,603-768-5448,603-768-5448,CLERK@DANBURYNH.GOV,WWW.TOWNOFDANBURYNH.COM,,,,
DANVILLE,MICHELLE HEALY,210 MAIN STREET DANVILLE 03819,603-382-8253,Not Applicable,MHEALY@TOWNOFDANVILLE.ORG,WWW.TOWNOFDANVILLE.ORG,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,DANVILLE COMMUNITY CENTER 169 MAIN ST DANVILLE 03819,11/03/2026-STATE GENERAL ELECTION
DEERFIELD,KELLY ROBERTS,PO BOX 159 DEERFIELD 03037,603-463-8811,603-463-2820,TWN@DEERFIELDNH.GOV,WWW.DEERFIELDNH.GOG,7:00 AM - 7:00 PM,07:00 AM - 07:00 PM,TOWN HALL 10 CHURCH ST DEERFIELD 03037,11/03/2026-STATE GENERAL ELECTION
DEERING,ANNETTE M POLAND,762 DEERING CENTER ROAD DEERING 03244,603-464-3224,Not Applicable,TOWNCLERK@DEERINGNH.GOV,WWW.DEERING.NH.US,8:00 AM - 7:00 PM,8:00 AM - 7:00 PM,DEERING TOWN HALL 762 DEERING CENTER RD DEERING 03244,11/03/2026-STATE GENERAL ELECTION
DERRY WARD 01,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,603-432-6105,603-432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 1) 5 PINKERTON (DIST 1) ST DERRY 03038,11/03/2026-STATE GENERAL ELECTION
DERRY WARD 02,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,603-432-6105,603-432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 2) 5 PINKERTON (DIST 2) ST DERRY 03038,11/03/2026-STATE GENERAL ELECTION
DERRY WARD 03,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,603-432-6105,603-432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 3) 5 PINKERTON (DIST 3) ST DERRY 03038,11/03/2026-STATE GENERAL ELECTION
DERRY WARD 04,CRISTINA GUILFORD,14 MANNING STREET DERRY 03038,603-432-6105,603-432-8176,TOWNCLERK@DERRYNH.GOV,WWW.DERRYNH.GOV,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,PINKERTON ACADEMY (DIST 4) 5 PINKERTON (DIST 4) ST DERRY 03038,11/03/2026-STATE GENERAL ELECTION
DIX'S GRANT,DONNA M DEMERS,100 PO Box 100 DIX'S GRANT 03579,603-482-3351,603-482-5069,ERROLTOWNCLERK@GMAIL.COM,Not Applicable,8:00 AM - 7:00 PM,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 DUMONT ST DIX'S GRANT 03576,11/03/2026-STATE GENERAL ELECTION
DIXVILLE,DEBORAH TILLOTSON,1 WILDERNESS ROAD DIXVILLE 03576,603-571-0069,Not Applicable,DEBTT@TANGO175.COM,Not Applicable,03:00 PM - 04:00 PM,12:00 PM - 01:00 PM,TILLOTSON HOUSE 1 TILLOTSON RD RD DIXVILLE 03576,11/03/2026-STATE GENERAL ELECTION
DORCHESTER,DARLENE E OAKS,1021 NH RTE 118 DORCHESTER 03266,603-786-9476,603-786-9476,TCTC.DORCHESTER@GMAIL.COM,TOWNOFDORCHESTER.NET,,,,
DOVER WARD 01,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,FRANCES G HOPKINS ELEMENTARY SCHOOL 78 HORNE ST DOVER 03820,11/03/2026-STATE GENERAL ELECTION
DOVER WARD 02,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,DOVER ICE ARENA 110 PORTLAND AVE DOVER 03820,11/03/2026-STATE GENERAL ELECTION
DOVER WARD 03,JERRICA ANN VANSYLYVONG-BIZIER,288 CENTRAL AVE DOVER 03820,603-516-6018,603-516-6666,J.BIZIER@DOVER.NH.GOV,WWW.DOVER.NH.GOV,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,WOODMAN PARK ELEMENTARY SCHOOL 11 TOWLE AVE DOVER 03820,11/03/2026-STATE GENERAL ELECTION
